setGroup,order,q,enabled,assertType,expected
"VB_032","1","เบิกเงินกู้ในแอปแล้วบัญชีเงินฝากยังไม่เข้า","TRUE","",""
"VB_032","2","เบิกเมื่อวานค่ะ","TRUE","",""
"VB_032","3","พนักงานจะตรวจสอบเสร็จเมื่อไหร่คะ ต้องรอนานกี่ชั่วโมง?","TRUE","",""
"VB_032","4","ถ้ารอนานแบบนี้ขอยกเลิกเงินกู้ตัวนี้เลยได้ไหมคะ ไปกู้ที่อื่นน่าจะเร็วกว่า","TRUE","",""
"VB_032_Ensure","1","เบิกเงินกู้ในแอปแล้วบัญชีเงินฝากยังไม่เข้า","TRUE","",""
"VB_032_Ensure","2","เบิกเมื่อวานค่ะ","TRUE","",""
"VB_032_Ensure","3","พนักงานจะตรวจสอบเสร็จเมื่อไหร่คะ ต้องรอนานกี่ชั่วโมง?","TRUE","",""
"VB_032_Ensure","4","ถ้ารอนานแบบนี้ขอยกเลิกเงินกู้ตัวนี้เลยได้ไหมคะ ไปกู้ที่อื่นน่าจะเร็วกว่า","TRUE","",""
"VB_032_Ensure","5","ดูเวอชันแอพตรงไหน","TRUE","",""
"VB_062","1","เปลี่ยนวันจ่ายค่างวด","TRUE","",""
"VB_062","2","อยากเปลี่ยนวันครบกำหนดชำระได้ไหม","TRUE","",""
"VB_062","3","ขอเลื่อนวันชำระค่างวดหน่อย","TRUE","",""
"VB_062","4","อยากเปลี่ยนวันจ่ายบิลในระบบ","TRUE","",""
"VB_062_Ensure","1","เปลี่ยนวันจ่ายค่างวด","TRUE","",""
"VB_062_Ensure","2","อยากเปลี่ยนวันครบกำหนดชำระได้ไหม","TRUE","",""
"VB_062_Ensure","3","ขอเลื่อนวันชำระค่างวดหน่อย","TRUE","",""
"VB_062_Ensure","4","ช่องทางการยืนยันตัวตนมีที่ไหนบ้างคะ","TRUE","",""
"VB_062_Ensure","5","ช่องทางการยืนยันตัวตนมีที่ไหนบ้างคะ","TRUE","",""
"VB_062_Ensure2","1","เปลี่ยนวันจ่ายค่างวด","TRUE","",""
"VB_062_Ensure2","2","อยากเปลี่ยนวันครบกำหนดชำระได้ไหม","TRUE","",""
